source,img_idx,model,noise_idx,mse_t1,mse_t11,mse_t21,mse_t31,mse_t41,mse_t51,mse_t61,mse_t71,mse_t81,mse_t91,mse_t101,mse_t111,mse_t121,mse_t131,mse_t141,mse_t151,mse_t161,mse_t171,mse_t181,mse_t191,mse_t201,mse_t211,mse_t221,mse_t231,mse_t241
SD1.3,3,SD1.4,26,0.8740234375,0.6713867188,0.5893554688,0.5385742188,0.5024414062,0.4741210938,0.4501953125,0.4299316406,0.4118652344,0.3964843750,0.3820800781,0.3688964844,0.3564453125,0.3454589844,0.3347167969,0.3247070312,0.3154296875,0.3063964844,0.2983398438,0.2900390625,0.2822265625,0.2749023438,0.2680664062,0.2609863281,0.2541503906
SD1.3,3,SD1.4,27,0.8745117188,0.6801757812,0.5991210938,0.5468750000,0.5102539062,0.4804687500,0.4558105469,0.4343261719,0.4157714844,0.3996582031,0.3850097656,0.3715820312,0.3591308594,0.3481445312,0.3374023438,0.3273925781,0.3181152344,0.3090820312,0.3007812500,0.2924804688,0.2844238281,0.2766113281,0.2695312500,0.2619628906,0.2548828125
SD1.3,3,SD1.4,28,0.8798828125,0.6801757812,0.5971679688,0.5439453125,0.5068359375,0.4770507812,0.4516601562,0.4296875000,0.4106445312,0.3942871094,0.3798828125,0.3666992188,0.3542480469,0.3432617188,0.3325195312,0.3227539062,0.3134765625,0.3046875000,0.2963867188,0.2880859375,0.2800292969,0.2719726562,0.2646484375,0.2568359375,0.2495117188
SD1.3,3,SD1.4,29,0.8950195312,0.6860351562,0.5996093750,0.5439453125,0.5043945312,0.4736328125,0.4482421875,0.4267578125,0.4082031250,0.3923339844,0.3781738281,0.3649902344,0.3525390625,0.3415527344,0.3308105469,0.3205566406,0.3110351562,0.3020019531,0.2934570312,0.2851562500,0.2775878906,0.2700195312,0.2634277344,0.2565917969,0.2500000000
SD1.3,4,SD1.4,0,0.8823242188,0.6406250000,0.5424804688,0.4809570312,0.4387207031,0.4057617188,0.3791503906,0.3569335938,0.3381347656,0.3225097656,0.3085937500,0.2961425781,0.2849121094,0.2749023438,0.2651367188,0.2561035156,0.2475585938,0.2395019531,0.2320556641,0.2247314453,0.2180175781,0.2114257812,0.2056884766,0.1997070312,0.1942138672
SD1.3,4,SD1.4,1,0.8886718750,0.6391601562,0.5385742188,0.4770507812,0.4350585938,0.4023437500,0.3757324219,0.3535156250,0.3344726562,0.3186035156,0.3044433594,0.2915039062,0.2795410156,0.2690429688,0.2590332031,0.2496337891,0.2410888672,0.2329101562,0.2250976562,0.2174072266,0.2100830078,0.2031250000,0.1966552734,0.1901855469,0.1842041016
SD1.3,4,SD1.4,2,0.8935546875,0.6459960938,0.5473632812,0.4855957031,0.4431152344,0.4104003906,0.3835449219,0.3610839844,0.3417968750,0.3256835938,0.3112792969,0.2980957031,0.2858886719,0.2749023438,0.2646484375,0.2551269531,0.2460937500,0.2376708984,0.2299804688,0.2225341797,0.2156982422,0.2089843750,0.2030029297,0.1968994141,0.1910400391
SD1.3,4,SD1.4,3,0.8833007812,0.6362304688,0.5385742188,0.4775390625,0.4355468750,0.4030761719,0.3764648438,0.3542480469,0.3352050781,0.3190917969,0.3046875000,0.2919921875,0.2802734375,0.2697753906,0.2600097656,0.2507324219,0.2419433594,0.2336425781,0.2259521484,0.2182617188,0.2111816406,0.2044677734,0.1983642578,0.1920166016,0.1860351562
SD1.3,4,SD1.4,4,0.8906250000,0.6430664062,0.5434570312,0.4821777344,0.4404296875,0.4082031250,0.3818359375,0.3596191406,0.3405761719,0.3244628906,0.3098144531,0.2966308594,0.2846679688,0.2739257812,0.2634277344,0.2539062500,0.2451171875,0.2368164062,0.2291259766,0.2215576172,0.2145996094,0.2078857422,0.2019042969,0.1958007812,0.1899414062
SD1.3,4,SD1.4,5,0.8823242188,0.6308593750,0.5336914062,0.4743652344,0.4340820312,0.4030761719,0.3779296875,0.3564453125,0.3378906250,0.3217773438,0.3073730469,0.2939453125,0.2819824219,0.2712402344,0.2614746094,0.2524414062,0.2441406250,0.2363281250,0.2290039062,0.2216796875,0.2147216797,0.2080078125,0.2017822266,0.1955566406,0.1894531250
